total_funding_usd,category,number_of_funding_rounds,number_of_business_milestones,relationships,number_of_employees,company_age,region
0,NA,0,1,1,50,7,Asia
5e5,web,1,1,1,11,3,Europe
0,finance,0,1,4,NA,NA,Europe
0,other,0,NA,NA,NA,NA,NA
0,other,0,1,3,20,11,Asia
0,web,0,NA,2,NA,0,Europe
14082326,biotech,3,NA,3,NA,16,Americas
0,travel,0,NA,NA,NA,NA,NA
55e4,medical,1,NA,2,NA,20,Americas
0,software,0,2,3,12,2,Asia
6e5,search,1,1,2,6,1,Americas
14e5,cleantech,1,NA,NA,NA,16,Americas
0,ecommerce,0,1,1,6,3,NA
0,advertising,0,1,2,40,3,Americas
0,other,0,2,2,2,1,Americas
0,network_hosting,0,NA,NA,NA,19,Americas
0,consulting,0,1,4,120,12,Oceania
5e4,education,1,1,1,23,8,Americas
0,education,0,NA,NA,NA,NA,NA
0,health,0,NA,NA,NA,NA,Americas
0,consulting,0,1,2,210,28,Europe
275e3,hardware,3,1,2,2,9,Americas
145e5,games_video,2,5,11,25,7,Asia
1254300,software,2,1,1,NA,7,Europe
9e6,cleantech,2,1,10,NA,17,Americas
0,software,1,1,2,5,5,Americas
0,hardware,0,1,3,2,1,Americas
0,software,0,1,2,50,15,Americas
0,NA,0,NA,1,NA,NA,NA
0,software,0,NA,NA,10,15,Europe
0,ecommerce,0,1,3,11,11,Europe
0,NA,0,NA,2,NA,NA,NA
0,software,0,NA,NA,200,13,Europe
225e3,mobile,1,1,1,7,1,Europe
0,NA,0,2,2,15,12,Americas
147532,web,2,NA,NA,NA,2,Americas
0,NA,0,1,3,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
25e4,ecommerce,1,NA,1,NA,2,Americas
2e4,mobile,1,4,4,2,4,Americas
32348,real_estate,1,1,4,4,1,Europe
375e4,mobile,2,2,3,NA,1,Americas
0,other,0,NA,NA,6,2,NA
455e5,software,4,3,12,NA,7,Americas
566e4,biotech,1,NA,5,NA,30,Americas
1145120,fashion,1,2,2,10,5,Europe
133e4,software,1,2,NA,NA,NA,Americas
0,consulting,0,1,1,10,8,Europe
0,NA,0,1,1,NA,NA,NA
55e5,manufacturing,1,1,2,NA,NA,Europe
0,mobile,0,1,1,2,1,Americas
0,hardware,0,NA,NA,1,2,NA
425e3,social,2,1,1,2,1,Americas
2920985,web,2,NA,4,NA,1,Americas
0,NA,0,NA,1,NA,NA,NA
118e3,web,1,1,2,5,1,Americas
0,public_relations,0,2,2,150,7,Europe
0,software,0,1,6,20,13,Americas
0,NA,0,1,2,NA,NA,NA
0,search,0,1,3,60,8,Asia
5e5,software,2,2,4,10,2,Europe
271e5,mobile,4,1,5,30,8,Americas
0,other,0,1,1,NA,1,Americas
321e5,advertising,7,5,29,35,11,Americas
0,NA,0,1,1,NA,NA,NA
5e4,web,1,1,1,1,2,Americas
0,consulting,0,1,2,4,2,Americas
0,software,0,1,11,230,5,Europe
4e5,software,1,1,2,NA,0,NA
1e5,nonprofit,2,1,3,7,2,Americas
4111500,web,1,3,2,120,0,NA
0,network_hosting,0,1,1,10,4,Asia
175e4,games_video,1,3,10,NA,9,Americas
0,software,1,1,1,28,7,Americas
0,web,0,1,2,15,5,Americas
0,other,0,NA,NA,3,2,NA
3e6,ecommerce,1,1,7,14,2,Americas
1075e3,fashion,2,NA,NA,NA,5,Americas
0,other,0,1,4,10,4,Americas
16e5,ecommerce,1,1,4,26,10,Americas
0,education,0,1,1,30,0,Asia
0,software,0,NA,2,3,6,Europe
0,NA,0,1,1,NA,NA,NA
3e6,software,1,NA,NA,25,13,Americas
5e5,ecommerce,1,1,5,8,3,Americas
631720,software,1,1,7,5,4,Europe
3e5,web,1,NA,1,4,5,NA
0,enterprise,0,2,5,12,4,Americas
25e4,web,1,NA,12,6,5,Americas
1553e4,cleantech,1,NA,NA,NA,NA,Europe
15910140,advertising,1,NA,2,NA,12,Europe
105e5,software,2,1,5,200,13,Americas
9e5,ecommerce,1,1,6,10,5,Americas
1e7,software,1,NA,2,NA,4,Americas
0,advertising,0,1,2,4,2,Europe
0,consulting,0,1,1,5,12,Americas
0,NA,0,NA,3,NA,11,Americas
225e4,advertising,2,2,9,37,3,Americas
0,NA,0,NA,NA,NA,NA,NA
0,software,0,1,2,6,7,Americas
12018047,biotech,2,NA,2,NA,NA,Americas
1e6,software,1,NA,3,NA,7,Americas
0,ecommerce,1,1,2,45,11,Americas
4e6,software,1,NA,2,NA,8,Asia
0,software,0,NA,NA,NA,0,NA
0,NA,0,NA,NA,NA,NA,NA
688e3,software,1,NA,NA,NA,9,Asia
1771015,NA,2,NA,NA,NA,12,Europe
0,ecommerce,0,2,5,27,5,Africa
2097106,hardware,2,NA,3,5,7,Americas
524320,music,2,NA,6,NA,2,Europe
2e6,news,1,NA,2,NA,NA,Americas
0,NA,0,1,1,NA,NA,NA
0,other,0,1,1,800,8,Asia
1625e4,enterprise,2,1,2,40,7,Americas
0,software,0,1,NA,1000,25,Americas
0,network_hosting,0,1,2,2,3,Europe
106e6,biotech,2,1,16,NA,3,Americas
135e5,semiconductor,3,NA,NA,NA,10,Europe
169e3,games_video,1,NA,NA,NA,7,Europe
125e3,advertising,1,2,68,40,7,Americas
1702200,security,2,1,2,11,5,Europe
0,other,0,NA,NA,20,3,Asia
0,games_video,0,1,NA,5,1,Americas
4986e4,software,4,3,13,235,8,Americas
0,NA,0,1,1,NA,NA,NA
65e4,software,2,1,4,NA,3,Americas
6161968,ecommerce,1,2,7,22,5,Europe
13100,hardware,1,1,2,2,2,Americas
0,NA,0,1,1,NA,NA,NA
12e5,mobile,2,1,11,6,4,Americas
0,software,0,2,3,25,15,Americas
0,other,0,1,1,1,1,Asia
0,web,0,1,2,2,2,Americas
15e5,games_video,1,1,3,10,2,Asia
0,NA,0,1,1,NA,NA,NA
18129440,semiconductor,9,4,10,20,9,Europe
0,web,0,1,3,86,18,Americas
0,NA,0,NA,NA,NA,NA,NA
459938,cleantech,2,1,2,5,3,Europe
0,software,0,1,1,1,4,Europe
45e4,ecommerce,1,1,4,3,3,Americas
0,legal,0,1,3,7,1,Europe
83e6,enterprise,2,2,15,NA,16,Americas
3e5,advertising,1,1,4,8,5,Americas
1e7,mobile,1,NA,3,NA,4,NA
4103845,software,2,2,7,12,4,Americas
64e3,security,1,2,2,2,10,Americas
412500,software,1,1,2,NA,1,Americas
5e6,other,1,3,8,NA,1,Americas
0,advertising,0,1,1,9,3,Americas
2924369,biotech,2,NA,1,NA,5,Americas
0,NA,0,NA,1,NA,NA,NA
81900,mobile,1,1,3,NA,7,Americas
0,web,0,NA,NA,NA,NA,NA
0,health,0,NA,NA,NA,0,NA
91583,hospitality,1,1,3,10,2,Europe
175e4,fashion,2,2,2,NA,2,Americas
0,software,0,1,2,65,7,Americas
0,other,0,NA,NA,NA,3,Americas
0,other,0,NA,NA,20000,39,Asia
15e5,software,1,1,10,NA,11,Americas
0,social,0,1,5,NA,0,Asia
0,ecommerce,0,NA,NA,3,2,NA
0,NA,0,1,1,NA,NA,NA
4e4,web,1,1,3,5,1,Americas
137530,biotech,1,NA,2,NA,10,Americas
2e6,travel,2,2,8,7,2,Americas
6e6,software,2,1,9,20,3,Americas
295e4,web,3,NA,1,12,2,Americas
5e6,advertising,1,NA,1,NA,14,Americas
0,ecommerce,0,2,2,8,4,Europe
0,games_video,0,1,1,10,4,Americas
72e4,mobile,2,2,4,4,1,Americas
0,NA,0,NA,NA,NA,NA,Americas
0,NA,0,NA,NA,NA,NA,NA
0,software,0,1,2,22,14,Europe
0,advertising,0,1,2,30,13,Americas
15e4,social,1,1,4,3,2,Americas
0,enterprise,0,1,3,3,1,Americas
0,web,0,1,1,5,1,Europe
0,ecommerce,0,1,2,3,2,Europe
35e5,other,1,NA,NA,NA,NA,NA
1e5,health,1,2,9,8,3,Americas
0,enterprise,1,1,1,3,1,Americas
0,advertising,0,1,2,55,5,Americas
0,NA,0,NA,1,NA,NA,NA
0,consulting,0,1,1,15,7,Asia
0,education,0,NA,NA,NA,1,Americas
0,software,0,1,1,10,2,Asia
75e5,NA,2,NA,2,NA,NA,Americas
185e4,mobile,1,3,6,7,1,Americas
0,other,0,NA,NA,2,NA,NA
17009150,mobile,4,NA,NA,NA,4,Americas
3365560,hospitality,2,1,2,16,2,Europe
4e6,software,1,NA,NA,NA,NA,Americas
2e7,mobile,2,4,23,100,14,Americas
527500,web,1,1,2,6,1,Americas
643300,advertising,1,1,2,NA,1,Europe
0,web,0,1,1,4,6,Asia
5e6,biotech,1,NA,NA,NA,NA,Americas
0,software,0,2,2,25,6,Oceania
0,other,0,1,2,NA,NA,NA
19299,travel,1,1,11,5,1,Europe
0,software,0,1,2,10,10,Americas
0,games_video,0,1,2,160,13,Europe
26e6,web,2,2,5,15,2,Americas
2473474,web,1,NA,1,NA,20,Europe
3564155,advertising,3,1,3,20,5,Europe
7601832,biotech,1,NA,2,NA,1,Americas
25e5,biotech,1,NA,NA,NA,NA,Americas
0,NA,0,1,10,NA,NA,NA
36e5,software,1,NA,1,NA,8,Americas
118e3,web,1,NA,1,NA,0,NA
14e5,web,1,2,5,10,1,Americas
0,education,0,NA,1,NA,NA,NA
723723,biotech,1,NA,2,NA,4,Americas
0,software,0,1,1,2,3,Americas
0,medical,0,1,1,NA,6,Americas
129320,social,3,2,9,NA,4,Europe
475e3,software,1,NA,1,NA,NA,NA
6e6,NA,2,1,4,NA,2,Americas
0,ecommerce,0,1,5,3,3,Asia
0,hardware,0,1,1,100,13,Asia
0,NA,0,2,1,NA,18,Americas
137016455,health,2,NA,1,NA,4,Americas
0,NA,0,1,3,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
2e5,enterprise,1,1,1,6,1,Americas
0,other,0,1,2,18,5,Europe
1e4,biotech,1,NA,3,NA,NA,Americas
2325e3,search,2,1,4,10,2,Americas
13e5,games_video,1,1,2,8,NA,Americas
25e3,enterprise,1,1,1,9,2,Americas
0,search,0,1,2,2,4,Americas
251852,games_video,2,NA,4,8,5,Europe
25e3,games_video,2,NA,1,NA,NA,Americas
19e6,security,2,1,1,NA,11,Americas
3e6,travel,2,1,5,30,5,Americas
0,web,0,2,1,15,3,Americas
1e5,mobile,1,1,1,3,3,Americas
0,software,0,2,10,12,4,Americas
0,software,0,2,1,20,4,Americas
3485e3,games_video,2,2,7,17,1,Americas
1e5,games_video,1,2,2,12,4,Americas
25e3,games_video,1,NA,NA,NA,2,Americas
1e7,medical,2,NA,NA,NA,7,Asia
0,software,0,2,1,3,2,Americas
2e4,mobile,1,1,1,15,2,Asia
0,NA,0,1,1,NA,NA,NA
641e3,search,1,3,2,18,8,Europe
102e5,biotech,2,2,12,NA,11,Americas
0,other,0,1,2,29,9,Americas
0,mobile,0,1,2,2,3,Americas
8e5,NA,1,NA,2,NA,8,Americas
0,ecommerce,0,1,1,2,4,Americas
0,NA,0,1,1,NA,NA,NA
0,web,0,1,4,4,3,Americas
0,software,0,NA,NA,200,8,Americas
0,education,0,1,2,3,5,Americas
0,software,0,1,2,NA,14,Americas
276755,games_video,1,1,2,9,6,Europe
971083,public_relations,2,NA,4,12,7,Europe
0,software,0,1,3,10,5,Americas
25996,advertising,1,1,1,5,3,Europe
0,mobile,0,NA,NA,10,NA,Americas
115e4,software,1,1,2,8,3,NA
387500,web,2,1,5,3,1,Americas
35e5,enterprise,2,1,5,25,3,Americas
0,network_hosting,0,1,2,5,2,Americas
0,web,0,1,1,2,2,Americas
0,software,0,NA,NA,250,8,NA
0,other,0,NA,NA,NA,42,NA
175e5,analytics,3,3,26,100,6,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,1,NA,NA,Americas
7e6,network_hosting,1,NA,1,NA,12,Americas
34e5,software,2,3,7,14,3,Americas
0,NA,0,1,1,NA,NA,NA
10489997,mobile,1,2,4,15,1,NA
0,search,0,NA,NA,NA,NA,NA
678750,ecommerce,3,1,2,NA,1,Americas
35e5,advertising,2,3,9,30,4,Europe
0,NA,0,NA,NA,NA,NA,NA
381e5,software,4,2,13,130,5,Americas
46e4,mobile,1,1,2,11,2,Asia
2708825,mobile,2,1,2,NA,1,Americas
0,NA,0,NA,1,NA,NA,NA
8e5,NA,1,NA,NA,NA,0,Americas
0,NA,0,1,2,NA,NA,NA
3844994,hardware,1,NA,1,NA,3,Americas
0,web,0,1,6,5,1,Americas
0,biotech,0,NA,NA,NA,NA,NA
13e5,network_hosting,2,NA,NA,NA,13,Americas
0,ecommerce,0,2,10,29,6,Americas
11e4,messaging,1,1,3,6,1,Asia
83703892,enterprise,6,2,6,830,9,Americas
2e5,social,1,1,1,5,3,Americas
375e3,web,3,1,4,5,2,Americas
544e5,ecommerce,3,3,30,195,4,Americas
79e5,analytics,2,2,19,40,5,Americas
0,social,0,NA,1,NA,2,Americas
0,photo_video,0,NA,1,NA,NA,NA
258e4,NA,1,NA,NA,NA,NA,Europe
305e4,games_video,2,3,8,NA,2,Americas
751204,mobile,1,1,1,NA,2,Americas
0,hardware,0,1,2,20,1,Asia
0,NA,0,1,1,NA,NA,NA
444e5,enterprise,2,2,22,60,7,Americas
12e6,semiconductor,1,NA,NA,NA,10,Americas
0,finance,0,NA,NA,NA,NA,Asia
612e3,news,1,2,9,8,3,Europe
15e6,web,1,3,19,150,6,Americas
0,education,0,1,2,18,7,Europe
0,hospitality,1,1,2,1,2,Americas
1848250,software,1,NA,2,NA,NA,Americas
39338411,enterprise,7,3,16,90,9,Americas
15e4,social,1,NA,2,NA,1,Asia
0,web,0,1,3,2,3,Americas
0,consulting,0,1,1,7,10,Americas
0,other,0,1,2,20,5,Americas
0,software,0,NA,2,2,5,Europe
24e6,social,2,2,7,NA,1,Americas
0,NA,0,NA,1,NA,NA,NA
189e4,mobile,2,1,2,8,2,Americas
56e6,automotive,3,NA,3,NA,9,Americas
0,search,0,NA,NA,3,4,NA
105e3,fashion,1,NA,NA,NA,5,Americas
5e6,software,1,2,11,100,19,Americas
0,mobile,1,1,5,5,1,Americas
0,software,0,NA,NA,80,7,Americas
25e6,advertising,1,2,17,70,17,Americas
5e4,messaging,1,2,2,NA,0,Americas
0,enterprise,1,1,1,2,0,Americas
2e6,nonprofit,1,NA,NA,NA,NA,NA
0,other,0,NA,1,10,3,Americas
0,ecommerce,0,1,1,4,4,Americas
7999996,software,4,1,2,NA,2,Americas
0,NA,0,NA,1,NA,NA,NA
35e3,other,2,1,3,4,1,Americas
5e5,software,1,1,5,NA,10,Americas
2e8,ecommerce,2,1,6,5000,3,Asia
93e5,NA,1,1,3,NA,13,Americas
0,search,0,NA,NA,NA,15,NA
0,web,0,1,3,5,3,Americas
12e4,web,1,1,4,4,2,Americas
113e5,semiconductor,1,1,2,NA,14,Americas
32e6,network_hosting,1,1,2,NA,15,Asia
19e5,biotech,3,NA,NA,NA,9,Americas
0,software,0,NA,NA,2,2,NA
0,web,0,1,3,10,1,Americas
0,NA,0,1,2,NA,NA,NA
0,ecommerce,0,1,1,10,1,Asia
809425,news,2,1,7,10,NA,Europe
10158e4,analytics,6,2,20,300,8,Americas
0,advertising,0,1,2,6,1,Asia
2e5,nonprofit,1,1,1,40,2,Americas
0,software,0,1,2,10,2,Americas
0,security,0,2,1,1,5,Europe
0,games_video,0,2,1,NA,NA,NA
0,mobile,0,1,5,5,6,Europe
4e5,mobile,1,2,2,5,2,Americas
235e3,analytics,1,1,2,3,1,Americas
16e6,software,1,1,5,NA,NA,Americas
0,security,1,1,2,45,5,Europe
0,web,0,1,5,5,2,Americas
0,NA,0,1,1,NA,NA,NA
186e5,games_video,1,1,4,NA,11,Americas
0,NA,0,NA,1,NA,NA,NA
3e7,advertising,1,2,1,115,18,Americas
1095e3,software,1,NA,4,NA,5,Americas
12e6,software,2,NA,NA,NA,8,NA
0,consulting,0,1,1,60,9,Americas
0,other,0,1,1,10,NA,NA
414957,software,1,1,5,NA,3,Americas
796761,hospitality,1,1,1,5,2,Europe
5e6,ecommerce,2,2,3,10,11,Americas
156e4,ecommerce,1,NA,NA,NA,NA,NA
11e4,web,1,1,6,6,2,Americas
0,real_estate,0,NA,NA,NA,3,Americas
3e6,analytics,2,1,1,130,7,Asia
5e5,web,1,NA,1,NA,3,Americas
1305e3,software,2,1,2,3,2,Americas
0,cleantech,0,1,1,1,2,Americas
5e4,health,1,1,3,8,1,Americas
0,software,0,2,5,10,14,Americas
14e5,mobile,1,2,3,3,2,Americas
0,mobile,0,NA,NA,5,NA,NA
25e3,fashion,1,1,2,NA,6,Americas
653426,web,1,2,2,10,3,Europe
738384,biotech,2,NA,3,NA,1,Americas
175e5,music,2,3,17,NA,5,Americas
1587e4,ecommerce,2,1,6,50,12,Europe
3e7,software,1,1,1,NA,3,Americas
0,search,1,2,2,4,4,Europe
0,NA,0,NA,1,NA,NA,NA
0,mobile,0,1,2,2,2,Americas
0,NA,0,NA,1,NA,NA,NA
0,ecommerce,0,NA,NA,NA,NA,NA
6e7,NA,2,1,3,NA,15,Americas
0,NA,0,1,1,NA,NA,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,3,NA,NA,NA
0,ecommerce,1,1,2,8,5,Europe
0,NA,0,1,1,NA,NA,NA
366e4,finance,1,NA,4,NA,NA,Americas
925e3,analytics,1,3,13,6,3,Americas
12e5,ecommerce,1,1,1,NA,15,Americas
0,ecommerce,0,1,1,6,3,Europe
0,NA,0,1,2,NA,NA,NA
1025e3,web,3,4,3,NA,2,Americas
0,advertising,0,2,2,25,2,Europe
124e5,biotech,2,1,4,NA,7,Americas
0,games_video,0,1,2,10,6,Europe
2759154,fashion,2,NA,3,NA,1,NA
0,NA,0,NA,NA,NA,NA,NA
0,mobile,0,1,3,NA,1,NA
0,games_video,0,1,4,5,4,Europe
0,software,0,1,1,3,4,Europe
0,NA,0,1,3,NA,NA,NA
13e5,software,1,1,3,12,3,Americas
1680511,web,1,1,3,NA,26,Americas
0,other,0,NA,NA,NA,NA,NA
621246,software,1,2,4,8,3,Europe
5e6,biotech,2,NA,NA,NA,7,Americas
5e7,other,1,1,1,NA,NA,NA
0,consulting,0,1,1,1,17,Asia
0,network_hosting,0,1,1,7,2,Americas
33648126,search,4,3,20,55,6,Americas
0,NA,0,1,1,NA,NA,NA
16e6,messaging,4,3,16,44,7,Americas
24000001,biotech,1,NA,3,NA,NA,Americas
0,education,0,1,1,NA,0,NA
0,hardware,0,1,4,NA,0,Americas
0,software,1,2,11,30,6,Asia
5e4,advertising,1,1,3,2,7,Europe
0,hardware,0,1,2,9,11,Europe
0,games_video,0,2,5,NA,11,Americas
14e5,mobile,1,1,4,10,2,Americas
0,web,0,1,1,5,2,Oceania
718e3,software,2,1,2,2,1,Americas
14e5,software,2,2,7,10,2,Americas
7632859,education,1,NA,NA,NA,12,Americas
0,software,0,1,2,NA,1,NA
645e5,games_video,3,3,11,250,4,Americas
1287074,other,2,NA,3,NA,7,Americas
0,NA,0,1,1,NA,NA,NA
0,network_hosting,0,NA,NA,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
661500,software,1,NA,3,NA,6,Europe
1525e4,network_hosting,3,2,8,NA,5,Americas
0,enterprise,0,1,1,50,1,Americas
20215e3,travel,4,3,6,16,3,Americas
0,network_hosting,0,1,2,40,10,Americas
0,NA,0,NA,1,NA,NA,NA
0,NA,0,NA,2,NA,NA,NA
5e5,web,1,1,2,8,1,Americas
0,other,0,NA,NA,NA,3,NA
0,other,0,1,2,2,2,Americas
6415e4,enterprise,7,5,20,70,7,Americas
123e5,advertising,2,2,11,24,3,Americas
0,software,0,1,4,120,7,Americas
5e7,security,1,1,NA,NA,11,Americas
0,web,0,1,3,3,4,Americas
5e7,real_estate,1,1,NA,NA,NA,Europe
15894431,semiconductor,2,NA,NA,NA,4,Asia
0,other,0,NA,NA,NA,NA,NA
13e6,ecommerce,2,NA,NA,NA,2,Asia
6e5,mobile,2,1,4,30,1,Americas
5e6,enterprise,1,3,8,20,2,Americas
375e4,software,1,NA,NA,NA,6,Americas
8775600,ecommerce,1,1,3,NA,8,Europe
0,mobile,0,NA,NA,NA,NA,NA
1e6,web,1,2,1,5,3,Americas
0,ecommerce,0,1,1,10,3,Americas
25e4,enterprise,1,1,3,8,4,Americas
0,public_relations,0,1,2,20,7,Americas
0,other,0,1,1,NA,NA,Americas
0,NA,0,NA,1,NA,NA,NA
0,NA,0,NA,NA,NA,NA,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,software,0,1,16,386,16,Americas
0,public_relations,1,2,5,20,8,Americas
82e5,software,2,3,4,35,4,Americas
76e5,network_hosting,1,3,11,75,20,Americas
25e5,NA,2,NA,1,NA,NA,NA
625e4,hardware,2,NA,6,NA,12,Americas
3e7,analytics,1,3,25,130,7,Americas
0,games_video,0,1,2,NA,NA,Europe
0,NA,0,NA,1,NA,NA,NA
0,other,0,1,1,10,2,Asia
0,software,0,1,5,4,2,Asia
12e5,hardware,2,1,1,NA,NA,Americas
45e4,education,2,1,7,20,2,Americas
0,NA,0,1,1,NA,NA,NA
62e4,social,3,1,4,4,1,Americas
169e4,ecommerce,1,NA,NA,NA,8,NA
15e3,web,1,1,5,5,2,Americas
0,legal,0,1,1,10,3,Americas
682850,sports,1,2,10,12,5,Europe
0,NA,0,1,1,NA,NA,NA
0,biotech,0,NA,NA,NA,9,Americas
61e5,analytics,1,2,13,175,14,Americas
74e5,software,1,1,23,1006,18,Americas
1865e4,software,3,1,15,NA,8,Americas
3318e3,manufacturing,1,NA,NA,NA,NA,Asia
0,enterprise,0,NA,1,16000,45,Americas
0,software,0,1,3,60,9,Americas
0,NA,0,NA,1,NA,NA,NA
23011e3,music,2,NA,3,NA,7,Europe
4475e4,semiconductor,6,1,10,NA,7,Americas
0,advertising,0,2,2,2,5,Americas
27e4,mobile,2,3,3,6,1,Oceania
15e5,NA,1,NA,NA,NA,9,Americas
1195e3,web,3,2,6,3,1,Oceania
0,software,0,1,1,5,1,Europe
0,web,0,2,3,2,6,Americas
2118e3,social,3,1,6,7,1,Americas
0,other,0,2,24,NA,29,Americas
1e5,mobile,1,1,5,4,2,Asia
2e5,software,1,1,3,NA,1,Asia
0,NA,0,1,1,NA,NA,NA
5e5,web,1,1,3,10,1,Americas
0,advertising,0,NA,NA,NA,NA,NA
0,games_video,0,NA,NA,NA,1,NA
0,manufacturing,0,NA,NA,NA,NA,NA
23e6,security,1,NA,1,NA,NA,Americas
0,advertising,0,1,9,23,3,Europe
0,NA,0,1,5,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
0,web,0,1,1,NA,4,Americas
0,NA,0,1,1,NA,NA,NA
177e5,web,1,NA,NA,NA,14,Asia
0,advertising,0,1,2,15,9,Americas
19791,web,1,NA,4,NA,0,Europe
1e4,enterprise,1,1,3,3,3,Europe
0,mobile,0,1,1,5,5,Europe
0,software,0,2,26,175,19,Americas
11522960,ecommerce,3,1,1,25,6,Europe
0,advertising,0,1,2,20,3,Americas
0,NA,0,NA,NA,NA,NA,Americas
0,NA,0,NA,NA,NA,NA,Americas
24e6,search,2,1,14,100,15,Americas
0,software,0,1,5,7,12,Americas
0,consulting,0,1,3,25,9,Americas
0,ecommerce,0,1,NA,NA,2,NA
4e4,software,2,1,4,4,3,Americas
0,ecommerce,0,1,1,3,5,Asia
0,local,0,NA,NA,NA,NA,NA
0,software,0,NA,NA,NA,NA,NA
0,ecommerce,0,NA,NA,NA,3,Europe
0,web,0,NA,NA,1,3,NA
0,ecommerce,0,NA,NA,NA,NA,NA
5e5,finance,1,1,7,6,1,Americas
1e6,hospitality,1,2,18,8,2,Americas
577e3,web,2,2,4,9,3,Europe
0,ecommerce,0,2,3,6,3,Americas
95244796,games_video,2,3,29,NA,11,Americas
8e4,social,1,1,1,15,0,Asia
0,web,0,2,3,4,7,Americas
75e4,education,1,1,3,NA,1,Americas
12e3,advertising,1,1,3,10,3,Asia
3e6,web,1,2,6,15,5,Asia
0,analytics,1,2,6,10,3,Americas
8e4,ecommerce,1,NA,NA,3,4,Americas
0,software,0,1,7,5,2,Americas
0,games_video,0,NA,5,NA,6,NA
0,mobile,0,2,30,30,12,Americas
2e6,photo_video,1,2,4,42,2,Americas
1795e4,advertising,4,3,11,70,5,Americas
1315e3,software,2,2,3,15,4,Americas
0,web,0,NA,1,1,4,NA
0,NA,0,1,2,NA,NA,NA
180188,mobile,1,1,3,4,2,Europe
0,social,0,NA,NA,NA,26,NA
288160,software,1,1,4,7,3,Europe
0,NA,0,1,1,NA,NA,NA
0,games_video,0,1,3,6,2,Americas
914e5,enterprise,3,2,15,NA,9,Americas
0,NA,0,1,1,NA,NA,NA
0,other,0,2,3,3,4,Americas
68e6,software,1,2,4,135,7,Americas
0,software,0,NA,NA,2,5,Europe
29833,music,1,1,2,2,3,Europe
1920391,biotech,1,NA,1,NA,1,Americas
0,NA,0,1,3,NA,NA,NA
0,software,0,2,6,1100,22,Americas
0,ecommerce,0,NA,1,1,4,NA
1509600,network_hosting,2,NA,NA,NA,40,Americas
0,mobile,0,1,1,10,5,Asia
0,software,0,1,5,10,3,Asia
0,photo_video,0,NA,NA,NA,NA,NA
3e5,enterprise,1,1,6,5,2,Americas
0,NA,0,1,3,NA,NA,NA
0,search,0,1,5,10,9,Americas
5e5,analytics,1,2,8,NA,3,Americas
322500,health,2,1,3,2,3,Americas
25e5,hardware,1,NA,NA,NA,9,Americas
0,NA,0,1,1,NA,NA,NA
206e4,software,1,NA,NA,NA,NA,Europe
166e5,advertising,2,4,20,50,6,Americas
14e6,games_video,1,2,5,30,2,Asia
0,NA,0,1,NA,NA,9,Americas
122e4,photo_video,2,2,3,3,2,Americas
25e3,games_video,1,1,3,7,14,Europe
605e5,biotech,3,NA,9,NA,2,Americas
803852,software,2,1,6,5,2,Oceania
0,other,0,NA,NA,NA,NA,NA
6747670,analytics,6,2,5,12,1,Americas
34224981,biotech,4,1,5,NA,6,Americas
24e4,mobile,1,1,2,NA,NA,Asia
15e4,real_estate,1,1,3,NA,8,Americas
1e5,mobile,1,2,1,6,4,Americas
0,software,0,2,7,300,13,Europe
0,NA,0,1,1,NA,NA,NA
0,mobile,0,1,2,8,3,Europe
0,mobile,0,1,2,5,1,Americas
0,web,0,NA,NA,NA,NA,Oceania
0,NA,0,1,1,NA,NA,NA
0,education,0,1,2,NA,1,NA
0,photo_video,0,NA,NA,NA,NA,NA
5165e3,enterprise,2,1,3,5,3,Americas
101e5,software,1,1,5,NA,13,Americas
96e4,manufacturing,1,NA,3,NA,NA,Americas
1602720,search,1,2,2,NA,4,Europe
10168408,hardware,3,3,6,32,6,Americas
0,manufacturing,1,NA,NA,NA,NA,Europe
129390,sports,1,NA,NA,10,1,Europe
1375e4,software,1,1,5,30,14,Americas
391e5,enterprise,3,2,10,135,5,Americas
0,other,0,NA,2,2,3,Asia
0,advertising,0,NA,NA,NA,0,NA
0,web,0,1,5,3,1,Europe
0,NA,0,1,1,NA,NA,NA
0,mobile,0,1,5,12,4,Europe
4e5,web,1,2,1,10,4,Americas
0,web,0,NA,NA,6,NA,NA
748955,biotech,1,1,6,NA,5,Americas
425e5,biotech,4,2,18,NA,5,Americas
0,NA,0,1,5,NA,NA,Americas
325e3,software,1,NA,3,NA,3,Americas
0,NA,0,1,2,NA,NA,NA
0,NA,0,NA,NA,NA,NA,NA
3406e4,software,1,1,11,NA,17,Europe
0,legal,0,1,NA,NA,3,NA
0,consulting,0,NA,NA,NA,17,Americas
0,finance,0,NA,NA,NA,NA,NA
0,NA,0,1,1,NA,25,Europe
0,NA,0,NA,1,NA,NA,NA
25e4,biotech,2,NA,1,NA,NA,Americas
6e6,hospitality,1,NA,NA,NA,NA,Asia
18e5,automotive,3,2,3,NA,1,Americas
0,software,0,1,NA,NA,NA,Asia
