status,category,region,number_of_employees,company_age,number_of_funding_rounds,total_funding_usd,number_of_business_milestones,relationships
closed,other,Americas,NA,6,1,0,1,3
acquired,other,Asia,NA,15,0,0,NA,NA
acquired,ecommerce,NA,NA,NA,0,0,NA,2
closed,public_relations,Americas,NA,4,1,550477,NA,3
closed,software,Europe,NA,8,0,6968958,4,6
acquired,ecommerce,NA,NA,NA,0,0,NA,NA
closed,medical,Americas,NA,NA,1,101007,NA,2
acquired,web,Americas,NA,4,0,0,2,3
acquired,semiconductor,Americas,NA,12,2,15095770,1,10
ipo,semiconductor,Americas,NA,16,6,8817403,NA,1
acquired,software,Americas,NA,NA,0,0,NA,1
ipo,medical,Americas,NA,15,2,227251473,2,10
acquired,biotech,Asia,NA,27,0,0,NA,NA
acquired,semiconductor,Americas,NA,46,0,0,NA,2
acquired,mobile,Americas,NA,NA,0,61105074,1,1
acquired,NA,Americas,NA,4,0,0,1,1
acquired,enterprise,Americas,31,4,2,8662699,3,7
closed,hardware,Americas,NA,4,3,0,1,4
acquired,public_relations,Americas,NA,14,0,0,NA,4
acquired,mobile,Europe,15,5,1,2364545,3,5
closed,games_video,NA,6,NA,1,499872,1,3
acquired,biotech,Americas,NA,9,4,19997745,NA,1
ipo,cleantech,Americas,NA,15,1,24240882,2,3
ipo,messaging,Asia,129,16,1,0,1,3
closed,semiconductor,Americas,NA,13,4,38609101,NA,NA
acquired,biotech,Americas,NA,19,1,11880052,NA,2
acquired,biotech,Europe,NA,NA,1,5643046,NA,2
acquired,biotech,Americas,NA,NA,0,0,NA,1
closed,biotech,Europe,NA,NA,2,3029886,NA,NA
acquired,NA,NA,NA,NA,0,0,2,6
closed,web,NA,NA,NA,0,0,NA,2
acquired,biotech,Americas,NA,11,4,4017798,NA,NA
closed,other,Americas,NA,NA,1,5049842,1,3
acquired,web,Americas,NA,14,0,0,1,1
acquired,other,Europe,NA,NA,0,0,NA,1
closed,consulting,Americas,80,14,1,0,NA,3
acquired,mobile,Asia,NA,14,0,0,NA,NA
acquired,network_hosting,Americas,NA,13,1,148499868,1,7
closed,cleantech,Americas,NA,NA,1,4545133,NA,2
acquired,mobile,Asia,NA,10,0,0,NA,2
acquired,hardware,Americas,NA,33,0,0,NA,2
acquired,other,Americas,NA,34,0,0,NA,3
ipo,biotech,Europe,NA,12,0,0,NA,2
acquired,mobile,NA,10,4,1,0,1,1
acquired,biotech,Americas,NA,8,0,0,NA,2
acquired,software,Americas,NA,7,0,0,NA,NA
closed,hardware,Europe,NA,7,1,972587,NA,NA
acquired,advertising,Americas,NA,NA,0,0,1,15
ipo,hardware,Americas,NA,12,2,1212592,NA,NA
acquired,consulting,NA,11,NA,0,0,NA,1
acquired,software,Americas,NA,NA,0,0,NA,NA
closed,medical,Americas,NA,7,2,3473270,NA,3
ipo,biotech,Americas,NA,NA,2,3193492,NA,2
acquired,cleantech,NA,NA,NA,0,0,NA,NA
ipo,biotech,Americas,NA,15,7,178868466,1,25
ipo,software,Americas,NA,67,0,0,1,5
acquired,software,Americas,NA,NA,0,0,1,4
acquired,enterprise,Europe,NA,14,2,17169987,2,10
acquired,other,Americas,NA,25,0,0,1,6
acquired,other,Americas,NA,24,0,0,NA,2
acquired,consulting,Europe,NA,NA,0,0,NA,NA
closed,ecommerce,Europe,5,4,1,0,2,2
closed,public_relations,NA,NA,NA,1,0,NA,1
closed,software,Europe,NA,7,1,2267169,NA,NA
closed,games_video,NA,NA,4,0,0,NA,1
closed,advertising,Americas,NA,4,0,0,NA,NA
closed,games_video,Americas,18,9,2,5867177,2,5
acquired,biotech,Europe,NA,7,2,193143059,NA,3
acquired,cleantech,Americas,NA,15,2,321179395,1,7
closed,games_video,Americas,NA,5,2,1485210,NA,2
closed,medical,Americas,NA,7,3,43559801,NA,3
acquired,ecommerce,NA,NA,4,0,0,1,4
closed,mobile,NA,18,4,1,1009854,5,4
acquired,web,Americas,NA,6,5,302494812,2,37
acquired,biotech,Americas,NA,9,2,5818561,3,4
acquired,network_hosting,Americas,NA,11,10,22386440,NA,4
acquired,network_hosting,Americas,76,14,1,1980051,2,1
acquired,security,Americas,NA,18,2,14727883,1,3
ipo,software,Americas,NA,28,1,30300081,NA,1
acquired,software,Americas,NA,15,0,0,1,2
closed,web,NA,1,4,0,0,NA,2
ipo,software,Americas,NA,19,0,0,2,16
acquired,software,Americas,NA,11,0,0,2,4
acquired,software,Europe,NA,13,1,7425339,1,2
acquired,hardware,Americas,70,NA,0,0,NA,11
closed,network_hosting,Americas,NA,NA,1,302979,NA,1
acquired,biotech,Americas,NA,13,3,10918353,NA,4
ipo,biotech,Americas,NA,33,0,0,2,34
ipo,enterprise,Americas,NA,27,0,0,1,5
acquired,hardware,Americas,NA,NA,0,0,NA,NA
acquired,biotech,Americas,NA,11,0,0,NA,3
ipo,software,Asia,NA,20,0,0,1,2
ipo,advertising,Asia,NA,NA,0,0,NA,NA
acquired,games_video,NA,NA,NA,0,0,NA,NA
closed,advertising,NA,NA,4,0,0,NA,0
closed,public_relations,Americas,5,4,0,0,NA,NA
closed,software,Americas,NA,4,1,2019798,2,6
closed,biotech,Americas,NA,NA,1,11879931,NA,2
acquired,network_hosting,Americas,4,4,1,202021,1,3
acquired,games_video,Americas,19,4,2,1980053,2,6
acquired,web,Americas,NA,NA,0,0,1,1
closed,other,Americas,NA,14,4,13354739,NA,4
acquired,enterprise,Americas,NA,NA,0,0,NA,NA
closed,cleantech,Americas,NA,26,1,10101,NA,2
ipo,cleantech,Americas,NA,10,1,29701163,2,3
acquired,search,Americas,NA,22,0,0,NA,NA
closed,software,Europe,NA,NA,1,3730229,NA,NA
acquired,mobile,Americas,NA,7,3,5107341,2,9
acquired,games_video,Americas,NA,14,1,5940151,NA,1
acquired,security,Americas,NA,12,4,8909522,1,5
closed,mobile,Americas,7,4,0,0,2,3
ipo,network_hosting,Asia,NA,21,1,79790863,NA,2
acquired,other,Americas,13,NA,0,0,NA,NA
acquired,enterprise,Americas,NA,17,3,6648232,NA,2
acquired,finance,NA,NA,5,1,0,2,1
acquired,legal,NA,NA,4,0,0,2,1
acquired,messaging,Americas,3,4,1,99018,2,4
acquired,software,Americas,30,16,0,0,1,7
acquired,public_relations,NA,NA,NA,0,0,3,1
acquired,hardware,NA,NA,NA,0,0,NA,2
acquired,web,NA,NA,NA,0,0,1,3
acquired,mobile,Americas,NA,12,5,33330105,1,4
acquired,mobile,Americas,NA,14,5,32670269,1,5
closed,software,Americas,NA,7,1,100991,NA,NA
ipo,biotech,Americas,NA,12,13,9608736,2,22
acquired,web,NA,NA,NA,0,0,NA,NA
ipo,other,Americas,NA,77,0,0,1,11
acquired,software,Americas,NA,15,4,32471858,1,5
closed,cleantech,Europe,NA,NA,0,4415283,NA,NA
acquired,software,Asia,NA,NA,0,0,NA,NA
acquired,mobile,Americas,NA,19,1,246012,1,4
ipo,education,Americas,15,4,3,4536408,2,8
acquired,software,Americas,NA,17,0,0,1,4
ipo,software,Americas,NA,NA,0,0,2,5
acquired,software,Americas,NA,15,1,8415057,1,7
acquired,mobile,NA,NA,12,1,16829800,NA,1
ipo,software,Asia,NA,19,0,0,1,17
acquired,other,Asia,NA,23,1,1010108,3,4
closed,mobile,Americas,15,4,1,0,1,NA
acquired,news,Americas,7,4,3,0,2,5
ipo,advertising,Americas,NA,13,5,276574207,3,18
closed,mobile,NA,2,NA,1,0,2,5
acquired,NA,Americas,NA,NA,0,0,NA,NA
closed,other,Americas,NA,37,1,45853320,NA,NA
acquired,mobile,NA,NA,NA,0,0,2,1
acquired,public_relations,Americas,NA,28,0,0,NA,1
acquired,NA,Americas,NA,8,0,0,2,2
closed,software,Americas,NA,4,2,2316805,NA,3
acquired,mobile,Americas,24,4,2,1187988,2,8
acquired,software,NA,NA,6,0,0,1,5
closed,hardware,Americas,NA,10,4,50095102,1,11
ipo,biotech,Americas,NA,21,0,0,3,17
acquired,biotech,Americas,NA,NA,0,0,NA,4
acquired,manufacturing,Americas,NA,19,2,6930234,NA,1
ipo,software,Americas,NA,28,0,0,3,7
acquired,software,Americas,NA,12,0,0,0,6
acquired,hardware,Asia,NA,13,0,0,1,3
acquired,other,Americas,NA,NA,0,0,NA,NA
closed,software,NA,NA,10,0,0,1,2
acquired,hardware,Americas,NA,11,0,0,NA,2
acquired,advertising,Americas,NA,NA,0,0,NA,NA
acquired,semiconductor,Americas,NA,13,3,52271389,NA,5
closed,semiconductor,Asia,NA,12,5,55275419,1,NA
closed,software,NA,5,4,1,247464,1,1
acquired,hardware,Asia,NA,8,2,2772199,NA,NA
ipo,biotech,Americas,NA,8,7,307448658,2,4
ipo,biotech,Americas,NA,11,0,0,2,13
closed,analytics,Americas,NA,10,5,25876628,3,16
acquired,software,Americas,NA,23,0,0,NA,2
ipo,mobile,Americas,NA,29,3,7988923,NA,3
acquired,security,Americas,NA,11,1,25047740,1,5
ipo,biotech,Americas,NA,16,0,0,NA,1
acquired,ecommerce,Americas,NA,4,3,15200061,3,7
closed,advertising,Asia,NA,NA,1,19799476,NA,NA
ipo,web,Americas,NA,73,0,0,2,3
acquired,games_video,NA,NA,9,0,0,NA,NA
closed,messaging,Americas,NA,8,2,4039991,NA,2
acquired,games_video,Americas,NA,NA,1,7820668,1,3
ipo,security,Americas,NA,38,1,10345668,NA,3
acquired,biotech,Americas,NA,18,0,0,2,10
acquired,biotech,Americas,NA,NA,0,0,NA,NA
ipo,cleantech,Asia,NA,20,0,0,NA,1
acquired,hardware,Americas,NA,11,3,17619448,NA,NA
acquired,ecommerce,Europe,10,4,0,0,1,1
closed,semiconductor,Europe,NA,10,2,13364995,1,1
acquired,semiconductor,Europe,NA,NA,2,5241375,NA,NA
acquired,ecommerce,Americas,81,4,4,36864625,3,21
closed,news,Americas,NA,7,1,297005,NA,3
closed,web,Americas,NA,NA,3,1455804,1,2
ipo,mobile,Americas,71,11,1,0,2,5
acquired,advertising,Americas,NA,6,1,17919960,1,13
ipo,hardware,Americas,NA,36,0,0,NA,1
closed,cleantech,Europe,NA,NA,1,1237460,NA,2
acquired,advertising,Americas,305,5,0,0,0,11
acquired,enterprise,Americas,NA,7,2,20200108,2,9
acquired,software,Americas,NA,8,4,49217372,3,5
closed,enterprise,Americas,NA,7,2,18583722,1,1
ipo,other,Americas,NA,NA,0,0,2,24
ipo,ecommerce,Americas,39,3,4,139987280,3,19
acquired,biotech,Americas,NA,9,0,0,2,9
acquired,mobile,Americas,NA,7,1,3664669,2,6
acquired,software,NA,NA,26,0,0,1,9
closed,consulting,NA,NA,7,1,50469,1,2
acquired,software,Asia,NA,6,0,0,NA,NA
ipo,biotech,Americas,NA,12,5,155429792,1,7
acquired,public_relations,NA,NA,NA,1,202001627,NA,NA
closed,biotech,Americas,NA,NA,2,7663772,NA,2
acquired,biotech,Americas,NA,NA,4,37067070,1,4
acquired,web,Americas,NA,NA,0,0,NA,NA
acquired,security,Americas,NA,27,0,0,NA,NA
closed,biotech,Americas,NA,NA,2,6600097,NA,1
acquired,web,Europe,20,12,0,0,2,9
closed,photo_video,Americas,NA,6,2,2020066,3,7
ipo,hardware,Americas,NA,25,2,29046827,1,6
acquired,public_relations,Americas,NA,14,1,7920259,NA,4
acquired,ecommerce,Americas,NA,NA,0,0,NA,NA
acquired,network_hosting,Americas,NA,13,0,0,1,9
acquired,search,Americas,NA,15,0,0,NA,NA
acquired,biotech,Americas,NA,15,0,0,2,1
ipo,biotech,Americas,NA,NA,0,0,1,2
acquired,cleantech,Americas,NA,5,3,14409175,2,NA
acquired,news,Americas,3,4,1,197991,3,11
acquired,web,Americas,NA,NA,0,0,NA,NA
closed,web,Americas,3,4,1,50532,NA,3
closed,web,Asia,NA,4,0,0,1,2
acquired,software,Americas,NA,6,2,1110929,2,9
acquired,software,Americas,NA,4,1,0,1,2
acquired,software,Americas,NA,13,2,35639511,1,25
acquired,biotech,Americas,NA,NA,2,4216829,NA,NA
acquired,education,Americas,NA,NA,0,0,NA,NA
acquired,mobile,Americas,NA,NA,0,0,1,2
acquired,consulting,Americas,99,10,0,0,3,4
acquired,mobile,Americas,NA,9,5,39600038,1,9
acquired,software,Americas,NA,14,1,8712236,NA,5
acquired,NA,Americas,NA,9,1,12321876,1,4
acquired,web,Americas,NA,7,1,2970171,0,4
acquired,enterprise,Europe,NA,12,1,0,2,NA
acquired,cleantech,Europe,NA,8,0,0,NA,3
acquired,mobile,Americas,NA,17,0,0,1,5
ipo,manufacturing,Americas,NA,28,1,20200150,NA,2
ipo,mobile,Americas,60,4,3,6059802,1,2
closed,public_relations,Americas,NA,13,2,10099852,1,2
acquired,enterprise,Americas,NA,4,3,7216121,3,12
acquired,software,Americas,250,6,0,0,3,13
closed,medical,Americas,NA,4,1,346515,NA,4
acquired,web,Americas,15,0,1,5732084,2,21
acquired,security,Americas,NA,9,4,38445177,2,16
acquired,analytics,Americas,4,4,1,742386,3,6
closed,web,Americas,NA,4,0,0,2,3
acquired,software,Americas,NA,NA,0,0,1,4
acquired,cleantech,Americas,NA,5,0,0,1,1
acquired,security,Americas,NA,NA,2,17674980,NA,10
ipo,biotech,Americas,55,NA,1,69301163,2,6
acquired,biotech,Americas,NA,18,0,0,1,7
closed,hardware,Europe,NA,8,3,5707808,NA,NA
acquired,mobile,Americas,NA,16,0,0,NA,2
closed,ecommerce,NA,NA,6,1,2969865,NA,NA
ipo,other,Americas,NA,33,0,0,4,6
acquired,games_video,Americas,NA,22,0,0,NA,NA
acquired,web,Europe,NA,12,1,2920771,NA,NA
closed,hardware,Americas,NA,5,1,0,NA,NA
ipo,biotech,Americas,NA,NA,0,0,1,20
ipo,ecommerce,Americas,NA,22,2,21815929,1,8
acquired,software,Americas,NA,9,3,16866811,NA,NA
ipo,public_relations,Americas,2024,42,0,0,3,23
acquired,ecommerce,Americas,21,10,2,1009952,2,6
closed,software,Europe,NA,14,3,11008646,NA,NA
acquired,biotech,Americas,NA,31,0,0,1,10
acquired,software,Americas,NA,13,0,0,1,16
acquired,public_relations,Americas,NA,NA,0,0,NA,4
acquired,software,NA,NA,NA,0,0,NA,NA
closed,messaging,Americas,NA,6,1,60609,NA,2
closed,cleantech,Americas,NA,6,2,13736137,NA,4
closed,web,NA,3,2,0,0,2,1
closed,mobile,NA,NA,NA,0,0,1,6
ipo,network_hosting,Americas,NA,26,1,39302897,NA,2
acquired,mobile,Americas,NA,5,0,0,3,4
acquired,public_relations,Europe,NA,10,1,1969971,NA,NA
closed,hardware,Europe,NA,NA,2,3191599,NA,NA
acquired,software,Asia,NA,14,2,17474265,NA,6
closed,web,Americas,NA,7,2,2217513,NA,NA
closed,web,NA,NA,NA,2,1201879,NA,NA
acquired,security,Americas,638,16,0,0,1,17
acquired,security,Americas,NA,12,0,0,NA,2
acquired,biotech,Europe,NA,9,0,0,NA,3
acquired,software,Americas,NA,60,0,0,NA,NA
ipo,other,Americas,NA,22,0,0,NA,2
acquired,other,Americas,NA,70,0,0,1,7
acquired,semiconductor,Europe,29,10,1,10484010,2,9
ipo,biotech,Americas,NA,NA,1,128699740,1,12
acquired,network_hosting,Americas,NA,7,5,25667113,1,6
ipo,software,Americas,NA,18,0,0,3,12
ipo,biotech,Americas,NA,5,3,85955978,2,24
ipo,biotech,Americas,NA,24,0,0,1,7
ipo,medical,Americas,NA,22,3,7127949,2,6
ipo,public_relations,Americas,NA,65,0,0,1,3
acquired,other,Americas,NA,NA,0,0,NA,3
closed,advertising,Asia,17,4,1,296951,NA,5
closed,mobile,Americas,3,6,2,898805,2,5
acquired,network_hosting,Americas,15,5,0,0,NA,2
acquired,other,Americas,NA,NA,0,0,NA,2
acquired,web,NA,NA,5,1,1979950,2,4
closed,cleantech,Americas,NA,NA,2,5347648,1,3
acquired,NA,Americas,14,NA,0,0,2,4
closed,software,Americas,NA,4,1,2695,NA,NA
acquired,software,Americas,NA,14,2,3762034,1,4
acquired,mobile,Americas,NA,NA,4,30337974,1,4
ipo,finance,Americas,45,29,1,1212065,NA,2
ipo,other,Americas,NA,42,1,4515816,1,3
acquired,hardware,Asia,NA,10,1,13634967,NA,NA
closed,ecommerce,Asia,NA,NA,1,734167,NA,NA
closed,software,Europe,NA,6,2,196991,NA,NA
closed,hardware,NA,NA,NA,1,198024,NA,NA
acquired,hardware,Americas,NA,33,2,50096524,1,4
acquired,network_hosting,Americas,NA,NA,3,1816761,NA,NA
closed,other,Americas,5,4,0,0,2,3
acquired,web,NA,NA,5,0,0,2,2
acquired,mobile,Americas,NA,16,0,0,3,30
acquired,advertising,NA,NA,NA,0,0,1,2
acquired,other,Asia,NA,31,0,0,NA,2
acquired,other,Asia,NA,NA,0,0,NA,NA
ipo,biotech,Americas,NA,30,0,0,1,4
acquired,biotech,Europe,NA,21,0,0,NA,NA
ipo,biotech,Americas,NA,32,0,0,2,8
closed,public_relations,Americas,NA,NA,1,6435260,NA,NA
acquired,other,Americas,NA,NA,0,0,NA,NA
acquired,security,Europe,NA,NA,0,0,NA,NA
acquired,web,NA,NA,NA,0,0,1,2
acquired,biotech,Americas,NA,NA,0,0,NA,3
acquired,public_relations,Europe,NA,NA,0,0,1,3
ipo,other,Americas,NA,NA,0,0,2,4
acquired,other,Americas,NA,38,0,0,NA,NA
acquired,games_video,Americas,NA,5,3,44589527,3,21
closed,software,Americas,NA,NA,5,766435,NA,5
closed,semiconductor,Americas,NA,7,3,18887523,NA,NA
acquired,enterprise,Americas,217,9,1,9899562,3,10
acquired,enterprise,Americas,NA,NA,1,148475,0,4
acquired,software,NA,NA,NA,0,0,NA,NA
closed,consulting,Europe,NA,38,1,21780544,NA,NA
ipo,other,Americas,NA,21,2,247044797,3,42
acquired,software,Americas,NA,12,0,0,NA,NA
acquired,other,Americas,NA,NA,0,0,NA,NA
acquired,software,Americas,NA,20,0,0,2,4
acquired,software,Europe,NA,15,0,0,NA,3
acquired,software,Americas,NA,17,1,5940083,1,4
ipo,enterprise,Americas,NA,54,0,0,1,3
acquired,other,Americas,NA,NA,0,0,NA,NA
ipo,software,Americas,NA,21,0,0,1,6
acquired,software,Americas,NA,14,0,0,1,5
acquired,software,Americas,NA,16,0,0,2,6
acquired,semiconductor,Americas,NA,NA,0,0,NA,5
closed,health,Europe,2,4,2,376077,1,1
closed,software,Americas,NA,8,1,5012860,NA,3
closed,NA,Americas,NA,4,0,79212,NA,1
acquired,consulting,Americas,NA,NA,2,7638211,1,2
closed,biotech,Americas,NA,8,1,2127068,NA,NA
acquired,network_hosting,NA,NA,NA,0,0,NA,NA
closed,biotech,Americas,NA,7,1,0,NA,NA
acquired,software,Americas,NA,NA,1,0,0,3
ipo,software,Americas,NA,25,2,12221255,2,5
closed,games_video,Europe,4,4,1,0,NA,1
ipo,other,Americas,NA,77,0,0,1,2
acquired,NA,Europe,NA,NA,0,0,NA,NA
acquired,hardware,Americas,NA,NA,0,0,NA,2
acquired,public_relations,Americas,NA,12,1,11110154,NA,2
acquired,cleantech,Americas,NA,5,2,1280688,1,NA
acquired,public_relations,Americas,NA,7,3,7936708,NA,1
acquired,mobile,Americas,NA,6,3,66582230,NA,NA
ipo,NA,Americas,NA,75,0,0,2,14
closed,messaging,Europe,NA,NA,1,0,NA,NA
acquired,biotech,Americas,NA,18,1,257400809,NA,5
acquired,software,Americas,NA,7,0,0,NA,1
acquired,other,Americas,NA,NA,1,10890271,NA,3
acquired,biotech,Americas,NA,28,0,0,NA,1
acquired,medical,Americas,NA,14,1,14849671,2,3
ipo,public_relations,Americas,NA,20,0,0,0,9
acquired,cleantech,Europe,NA,NA,1,1927477,NA,NA
acquired,biotech,Americas,NA,8,1,26361425,NA,1
acquired,software,Americas,NA,38,0,0,2,17
acquired,software,Americas,NA,25,0,0,NA,5
acquired,ecommerce,Asia,60,18,2,18180031,2,6
closed,software,Americas,3,5,2,494952,NA,6
acquired,mobile,Americas,3,NA,0,1010081,3,5
acquired,web,NA,NA,NA,0,0,NA,NA
acquired,public_relations,Europe,NA,8,1,5791628,1,3
ipo,software,Americas,607,17,1,454573,3,18
ipo,mobile,Americas,NA,NA,0,0,NA,11
closed,biotech,Americas,NA,7,2,2280033,NA,3
acquired,network_hosting,Americas,NA,6,4,42233431,2,13
closed,NA,Americas,NA,4,2,5956914,1,NA
acquired,web,Americas,15,NA,1,0,2,4
acquired,software,Europe,302,14,1,88039412,NA,4
acquired,biotech,Americas,NA,13,1,1187878,1,9
acquired,advertising,Americas,NA,10,0,0,2,8
ipo,biotech,Americas,NA,13,2,27118599,2,5
acquired,cleantech,Americas,NA,5,2,17284866,1,2
acquired,other,Americas,NA,12,0,0,NA,NA
acquired,mobile,NA,NA,NA,0,0,NA,NA
acquired,consulting,Americas,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,44,0,0,NA,NA
ipo,medical,Americas,NA,19,3,46975554,1,21
closed,biotech,Americas,NA,7,2,3131064,0,3
acquired,software,NA,4,5,0,0,NA,NA
acquired,enterprise,Americas,NA,NA,0,0,NA,NA
ipo,biotech,Americas,NA,24,0,0,NA,3
closed,biotech,Americas,NA,NA,1,12374645,1,6
acquired,software,Americas,NA,13,0,0,1,4
acquired,software,Americas,NA,17,0,0,NA,8
acquired,software,Americas,NA,8,0,0,NA,2
acquired,other,Americas,NA,NA,0,0,1,2
closed,cleantech,Americas,NA,5,1,40985702,1,1
acquired,biotech,Americas,NA,NA,0,0,NA,NA
acquired,security,Americas,NA,15,0,0,NA,NA
ipo,biotech,Americas,NA,33,0,0,1,5
acquired,biotech,Americas,NA,30,0,0,0,5
acquired,software,Americas,NA,NA,0,0,NA,NA
closed,software,Asia,NA,NA,1,0,NA,NA
closed,security,Europe,4,5,2,1611691,NA,NA
acquired,public_relations,Americas,NA,4,0,0,1,2
closed,mobile,Americas,NA,8,1,4949721,1,1
ipo,cleantech,Americas,NA,34,2,12625130,2,7
closed,network_hosting,Americas,2,5,0,0,NA,2
acquired,other,Americas,NA,40,0,0,NA,2
acquired,other,NA,NA,NA,0,0,NA,NA
acquired,software,Americas,NA,21,0,0,1,4
ipo,cleantech,Americas,NA,28,1,1484992,NA,4
acquired,software,Americas,NA,10,0,0,NA,3
acquired,mobile,Americas,NA,NA,0,0,1,1
acquired,hardware,Asia,NA,4,0,0,NA,NA
closed,enterprise,Americas,NA,7,2,10691443,1,2
closed,mobile,Asia,NA,NA,1,3434032,NA,NA
closed,games_video,Asia,NA,NA,1,3465000,1,0
closed,web,Americas,9,4,1,98991,NA,NA
closed,public_relations,Asia,3,NA,1,50517,NA,NA
closed,other,Asia,2,4,1,49498,NA,NA
closed,mobile,Asia,4,4,2,93065,NA,4
acquired,other,NA,NA,NA,0,0,NA,NA
acquired,software,Americas,NA,NA,0,0,NA,NA
acquired,other,NA,NA,NA,0,0,NA,NA
ipo,consulting,Americas,NA,57,0,4158064,1,2
acquired,software,Americas,NA,6,1,5632898,1,12
acquired,games_video,NA,NA,NA,0,0,NA,NA
acquired,software,Europe,NA,29,1,24493444,NA,NA
acquired,NA,Americas,NA,5,0,0,2,1
ipo,other,Asia,NA,33,0,0,1,1
acquired,cleantech,Americas,NA,44,1,2019748,2,4
acquired,other,Europe,NA,NA,0,0,NA,NA
acquired,software,Americas,NA,30,0,0,1,3
acquired,other,Asia,NA,NA,0,0,NA,1
ipo,biotech,Americas,NA,22,3,76759348,2,8
acquired,other,Americas,NA,NA,1,1049528,NA,3
acquired,NA,NA,NA,NA,0,0,NA,1
acquired,NA,NA,NA,NA,0,0,1,5
ipo,other,Americas,NA,NA,0,0,NA,NA
closed,advertising,Asia,NA,10,2,11109882,1,3
closed,finance,Americas,NA,4,2,455406,3,9
acquired,web,Americas,7,3,0,0,2,8
closed,other,NA,8,4,0,0,2,5
closed,finance,Asia,NA,7,2,34650874,NA,NA
acquired,NA,Americas,NA,6,0,0,NA,NA
ipo,other,Americas,506,37,0,0,NA,NA
closed,enterprise,NA,3,4,0,0,NA,NA
acquired,other,Americas,4,4,0,0,1,3
acquired,ecommerce,Americas,3,5,1,494999,1,2
ipo,public_relations,Americas,NA,NA,0,0,1,3
closed,hardware,Americas,NA,10,1,9900835,1,1
closed,public_relations,Europe,NA,NA,1,918782,NA,NA
acquired,ecommerce,Europe,NA,6,1,2827111,1,3
closed,cleantech,Americas,NA,5,1,11880097,NA,2
acquired,security,Americas,NA,30,0,0,NA,NA
acquired,other,Americas,NA,7,0,0,NA,NA
ipo,biotech,Americas,NA,24,2,13938245,2,5
closed,advertising,Americas,NA,NA,1,2020067,NA,NA
ipo,medical,Americas,NA,12,1,62765438,0,7
ipo,medical,Americas,NA,5,3,99682412,1,16
acquired,software,Europe,NA,NA,1,7672726,NA,NA
acquired,NA,NA,NA,NA,0,0,1,1
acquired,NA,NA,NA,NA,0,0,1,5
acquired,NA,NA,NA,NA,0,0,3,4
acquired,hardware,Europe,NA,10,1,5979693,NA,NA
ipo,biotech,Oceania,NA,NA,1,418841,NA,2
acquired,hardware,Americas,NA,6,0,0,NA,1
acquired,advertising,Americas,NA,7,0,0,2,2
acquired,software,NA,NA,NA,0,0,NA,3
closed,biotech,Americas,NA,11,3,1999777,NA,NA
closed,biotech,Europe,NA,6,1,821067,NA,NA
acquired,biotech,Americas,NA,NA,1,3989517,NA,1
closed,biotech,Americas,NA,NA,3,6451332,NA,NA
ipo,software,Americas,NA,52,0,0,2,8
acquired,biotech,Americas,NA,7,5,86233892,NA,2
acquired,other,Americas,NA,18,1,37371264,1,3
closed,public_relations,Asia,NA,14,1,4465026,NA,NA
acquired,NA,NA,NA,NA,0,0,NA,1
acquired,NA,NA,NA,NA,0,0,NA,2
acquired,NA,NA,NA,NA,0,0,1,2
acquired,NA,NA,NA,NA,0,0,NA,1
closed,games_video,Europe,NA,8,2,3217806,NA,NA
ipo,hardware,Americas,NA,NA,1,7043781,NA,5
acquired,mobile,Americas,NA,14,3,26757759,2,3
closed,ecommerce,Americas,NA,6,1,594039,NA,NA
acquired,biotech,Americas,NA,7,1,19799600,NA,NA
acquired,other,Americas,NA,NA,0,0,1,33
acquired,biotech,Americas,NA,6,4,90293622,NA,2
acquired,games_video,Asia,NA,1,2,52062826,2,11
acquired,other,Americas,NA,15,0,0,NA,1
closed,network_hosting,Americas,NA,11,1,3030239,NA,NA
acquired,software,Americas,NA,14,0,0,1,3
acquired,software,Americas,NA,NA,1,3029814,NA,NA
acquired,other,Europe,NA,8,1,0,NA,2
ipo,games_video,NA,400,13,0,0,NA,NA
ipo,semiconductor,Americas,NA,8,6,270541886,3,23
closed,ecommerce,Europe,NA,4,2,6387727,NA,NA
acquired,biotech,Americas,NA,14,4,82391129,NA,1
ipo,games_video,Americas,2519,5,0,0,3,2
acquired,NA,NA,NA,NA,0,0,1,7
acquired,NA,NA,NA,NA,0,0,1,1
acquired,NA,NA,NA,NA,0,0,NA,1
acquired,NA,NA,NA,NA,0,0,1,7
closed,hardware,Americas,NA,NA,1,2524867,NA,NA
acquired,web,NA,1,9,0,0,2,1
ipo,public_relations,Americas,NA,42,0,0,1,6
acquired,games_video,NA,12,7,0,0,1,8
acquired,software,Americas,354,17,0,0,2,16
ipo,network_hosting,Americas,NA,NA,1,2213977,1,3
acquired,consulting,NA,NA,NA,0,0,1,4
acquired,manufacturing,Americas,NA,NA,3,3811421,NA,NA
acquired,software,Americas,NA,3,1,2059134,NA,NA
closed,software,Americas,NA,15,2,10815759,NA,NA
acquired,enterprise,Americas,NA,13,2,4233431,1,16
closed,web,Americas,NA,4,2,1039464,1,2
ipo,software,Americas,406,18,2,9023879,3,7
closed,software,Americas,NA,NA,1,109090,NA,3
acquired,other,Americas,NA,15,0,0,1,1
acquired,mobile,Asia,NA,18,0,0,NA,NA
acquired,network_hosting,Americas,NA,NA,0,0,1,4
